Year,Race Name,Position,First Name,Last Name,Racer Number,Team,Laps Completed,Time
2023,miami,19,Logan,Sargeant,2,16,27,1:32.619
2023,miami,20,Nyck,De Vries,21,8,10,1:34.637
2023,monaco,1,Carlos,Sainz,55,8,26,1:13.372
2023,monaco,2,Fernando,Alonso,14,16,28,1:13.710
2023,monaco,3,Lewis,Hamilton,44,16,27,1:14.035
2023,monaco,4,Sergio,Perez,11,16,27,1:14.038
2023,monaco,5,Charles,Leclerc,16,8,24,1:14.093
2023,monaco,6,Max,Verstappen,1,16,26,1:14.244
2023,monaco,7,Lando,Norris,4,16,25,1:14.467
2023,monaco,8,Esteban,Ocon,31,16,29,1:14.585
2023,monaco,9,Lance,Stroll,18,16,28,1:14.653
2023,monaco,10,Alexander,Albon,23,16,32,1:14.666
2023,monaco,11,Valtteri,Bottas,77,14,29,1:14.718
2023,monaco,12,Kevin,Magnussen,20,17,29,1:14.725
2023,monaco,13,Yuki,Tsunoda,22,8,29,1:14.820
2023,monaco,14,Pierre,Gasly,10,16,30,1:14.866
2023,monaco,15,George,Russell,63,16,24,1:15.066
2023,monaco,16,Nyck,De Vries,21,8,33,1:15.083
2023,monaco,17,Oscar,Piastri,81,16,32,1:15.192
2023,monaco,18,Logan,Sargeant,2,16,30,1:15.557
2023,monaco,19,Zhou,Guanyu,24,14,25,1:15.684
2023,monaco,20,Nico,Hulkenberg,27,17,17,1:15.785
2023,spain,1,Max,Verstappen,1,16,32,1:14.606
2023,spain,2,Sergio,Perez,11,16,32,1:15.374
2023,spain,3,Esteban,Ocon,31,16,28,1:15.418
2023,spain,4,Nyck,De Vries,21,8,27,1:15.504
2023,spain,5,Pierre,Gasly,10,16,27,1:15.545
2023,spain,6,Fernando,Alonso,14,16,24,1:15.547
2023,spain,7,Kevin,Magnussen,20,17,22,1:15.689
2023,spain,8,Charles,Leclerc,16,8,28,1:15.694
2023,spain,9,Carlos,Sainz,55,8,27,1:15.726
2023,spain,10,George,Russell,63,16,32,1:15.753
2023,spain,11,Lando,Norris,4,16,25,1:15.783
2023,spain,12,Lewis,Hamilton,44,16,29,1:15.845
2023,spain,13,Zhou,Guanyu,24,14,24,1:15.906
2023,spain,14,Yuki,Tsunoda,22,8,27,1:15.915
2023,spain,15,Lance,Stroll,18,16,25,1:15.939
2023,spain,16,Valtteri,Bottas,77,14,24,1:15.978
2023,spain,17,Oscar,Piastri,81,16,26,1:16.353
2023,spain,18,Nico,Hulkenberg,27,17,28,1:16.461
2023,spain,19,Logan,Sargeant,2,16,30,1:16.506
2023,spain,20,Alexander,Albon,23,16,28,1:16.630
2023,canada,1,Valtteri,Bottas,77,14,3,1:18.728
2023,canada,2,Lance,Stroll,18,16,3,1:19.175
2023,canada,3,Fernando,Alonso,14,16,3,1:19.807
2023,canada,4,Sergio,Perez,11,16,3,1:20.154
2023,canada,5,Max,Verstappen,1,16,3,1:20.231
2023,canada,6,Oscar,Piastri,81,16,3,1:21.496
2023,canada,7,Kevin,Magnussen,20,17,3,1:24.045
2023,canada,8,Nico,Hulkenberg,27,17,3,1:24.336
2023,canada,9,Zhou,Guanyu,24,14,3,1:24.961
2023,canada,10,Carlos,Sainz,55,8,3,1:25.991
2023,canada,11,Charles,Leclerc,16,8,3,1:26.809
2023,canada,12,Nyck,De Vries,21,8,3,1:32.274
2023,canada,13,Yuki,Tsunoda,22,8,2,
2023,canada,14,Lando,Norris,4,16,2,
2023,canada,15,Pierre,Gasly,10,16,1,
2023,canada,16,Alexander,Albon,23,16,1,
2023,canada,17,Logan,Sargeant,2,16,2,
2023,austria,1,Max,Verstappen,1,16,30,1:05.742
2023,austria,2,Carlos,Sainz,55,8,32,1:05.983
2023,austria,3,Charles,Leclerc,16,8,33,1:06.012
2023,austria,4,Lewis,Hamilton,44,16,34,1:06.251
2023,austria,5,Sergio,Perez,11,16,32,1:06.262
2023,austria,6,Lance,Stroll,18,16,29,1:06.340
2023,austria,7,Kevin,Magnussen,20,17,27,1:06.497
2023,austria,8,Fernando,Alonso,14,16,31,1:06.656
2023,austria,9,George,Russell,63,16,28,1:06.696
2023,austria,10,Zhou,Guanyu,24,14,33,1:06.780
2023,austria,11,Alexander,Albon,23,16,23,1:06.794
2023,austria,12,Oscar,Piastri,81,16,36,1:06.809
2023,austria,13,Nico,Hulkenberg,27,17,30,1:06.846
2023,austria,14,Valtteri,Bottas,77,14,33,1:06.847
2023,austria,15,Yuki,Tsunoda,22,8,34,1:06.985
2023,austria,16,Nyck,De Vries,21,8,36,1:07.017
2023,austria,17,Logan,Sargeant,2,16,25,1:07.018
2023,austria,18,Esteban,Ocon,31,16,30,1:07.202
2023,austria,19,Pierre,Gasly,10,16,28,1:07.287
2023,austria,20,Lando,Norris,4,16,20,1:07.368
2023,great-britain,1,Max,Verstappen,1,16,26,1:28.600
2023,great-britain,2,Sergio,Perez,11,16,22,1:29.048
2023,great-britain,3,Alexander,Albon,23,16,22,1:29.089
2023,great-britain,4,Fernando,Alonso,14,16,21,1:29.268
2023,great-britain,5,Charles,Leclerc,16,8,25,1:29.280
2023,great-britain,6,Esteban,Ocon,31,16,23,1:29.319
2023,great-britain,7,Carlos,Sainz,55,8,25,1:29.357
2023,great-britain,8,Lando,Norris,4,16,25,1:29.441
2023,great-britain,9,Lance,Stroll,18,16,26,1:29.471
2023,great-britain,10,Oscar,Piastri,81,16,16,1:29.658
2023,great-britain,11,Nyck,De Vries,21,8,26,1:29.691
2023,great-britain,12,Lewis,Hamilton,44,16,23,1:29.768
2023,great-britain,13,Pierre,Gasly,10,16,24,1:29.828
2023,great-britain,14,George,Russell,63,16,28,1:29.874
2023,great-britain,15,Valtteri,Bottas,77,14,22,1:30.090
2023,great-britain,16,Yuki,Tsunoda,22,8,28,1:30.092
2023,great-britain,17,Logan,Sargeant,2,16,24,1:30.124
2023,great-britain,18,Zhou,Guanyu,24,14,20,1:30.321
